ttylog: invalid device /dev/ttyACM0
ttylog: invalid device /dev/ttyACM0
ttylog: invalid device /dev/ttyACM0
[Thu Mar  7 15:07:52 2019] 
[Thu Mar  7 15:07:52 2019] 573  9  0  28005  
[Thu Mar  7 15:07:52 2019] ˆ
[Thu Mar  7 15:07:52 2019] 
[Thu Mar  7 15:07:52 2019] 55  10  0  28070  
[Thu Mar  7 15:07:52 2019] ˆ
[Thu Mar  7 15:07:52 2019] 
[Thu Mar  7 15:07:52 2019] 39  10  0  28119  
[Thu Mar  7 15:07:52 2019] ˆ
[Thu Mar  7 15:07:52 2019] 
[Thu Mar  7 15:07:53 2019] 381  11  0  28511  
[Thu Mar  7 15:07:53 2019] ˆ
[Thu Mar  7 15:07:53 2019] 
[Thu Mar  7 15:07:53 2019] 40  10  0  28562  
[Thu Mar  7 15:07:53 2019] ˆ
[Thu Mar  7 15:07:53 2019] 
[Thu Mar  7 15:07:53 2019] 372  10  0  28945  
[Thu Mar  7 15:07:53 2019] ˆ
[Thu Mar  7 15:07:53 2019] 
[Thu Mar  7 15:07:53 2019] 63  10  0  29018  
[Thu Mar  7 15:07:53 2019] ˆ
[Thu Mar  7 15:07:53 2019] 
[Thu Mar  7 15:07:54 2019] 371  10  0  29401  
[Thu Mar  7 15:07:54 2019] ˆ
[Thu Mar  7 15:07:54 2019] 
[Thu Mar  7 15:07:54 2019] 239  10  0  29651  
[Thu Mar  7 15:07:54 2019] ˆ
[Thu Mar  7 15:07:54 2019] 
[Thu Mar  7 15:07:54 2019] 393  8  0  30055  
[Thu Mar  7 15:07:54 2019] ˆ
[Thu Mar  7 15:07:54 2019] 
[Thu Mar  7 15:07:55 2019] 769  10  0  30835  
[Thu Mar  7 15:07:55 2019] ˆ
[Thu Mar  7 15:07:55 2019] 
[Thu Mar  7 15:07:55 2019] 301  8  0  31146  
[Thu Mar  7 15:07:55 2019] ˆ
[Thu Mar  7 15:07:55 2019] 
[Thu Mar  7 15:07:55 2019] 42  11  0  31200  
[Thu Mar  7 15:07:55 2019] ˆ
[Thu Mar  7 15:07:55 2019] 
[Thu Mar  7 15:07:55 2019] 64  10  0  31275  
[Thu Mar  7 15:07:55 2019] ˆ
[Thu Mar  7 15:07:55 2019] 
[Thu Mar  7 15:07:56 2019] 613  10  0  31900  
[Thu Mar  7 15:07:56 2019] ˆ
[Thu Mar  7 15:07:56 2019] 
[Thu Mar  7 15:07:57 2019] 968  8  0  32879  
[Thu Mar  7 15:07:57 2019] ˆ
[Thu Mar  7 15:07:57 2019] 
[Thu Mar  7 15:08:00 2019] 2680  10  0  35570  
[Thu Mar  7 15:08:00 2019] ˆ
[Thu Mar  7 15:08:00 2019] 
[Thu Mar  7 15:08:00 2019] 147  10  0  35728  
[Thu Mar  7 15:08:00 2019] ˆ
[Thu Mar  7 15:08:00 2019] 
[Thu Mar  7 15:08:01 2019] 654  8  0  36393  
[Thu Mar  7 15:08:01 2019] ˆ
[Thu Mar  7 15:08:01 2019] 
[Thu Mar  7 15:08:01 2019] 74  10  0  36479  
[Thu Mar  7 15:08:01 2019] ˆ
[Thu Mar  7 15:08:01 2019] 
[Thu Mar  7 15:08:01 2019] 252  11  0  36742  
[Thu Mar  7 15:08:01 2019] ˆ
[Thu Mar  7 15:08:01 2019] 
[Thu Mar  7 15:08:03 2019] 2328  10  0  39080  
[Thu Mar  7 15:08:03 2019] ˆ
[Thu Mar  7 15:08:03 2019] 
[Thu Mar  7 15:08:04 2019] 797  10  0  39889  
[Thu Mar  7 15:08:04 2019] ˆ
[Thu Mar  7 15:08:04 2019] 
[Thu Mar  7 15:08:04 2019] 130  11  0  40031  
[Thu Mar  7 15:08:04 2019] ˆ
[Thu Mar  7 15:08:04 2019] 
[Thu Mar  7 15:08:06 2019] 1664  10  0  41706  
[Thu Mar  7 15:08:06 2019] ˆ
[Thu Mar  7 15:08:06 2019] 
[Thu Mar  7 15:08:06 2019] 359  11  0  42077  
[Thu Mar  7 15:08:06 2019] ˆ
[Thu Mar  7 15:08:06 2019] 
[Thu Mar  7 15:08:06 2019] 193  10  0  42281  
[Thu Mar  7 15:08:06 2019] ˆ
[Thu Mar  7 15:08:06 2019] 
[Thu Mar  7 15:08:07 2019] 646  10  0  42939  
[Thu Mar  7 15:08:07 2019] ˆ
[Thu Mar  7 15:08:07 2019] 
[Thu Mar  7 15:08:07 2019] 57  8  0  43006  
[Thu Mar  7 15:08:07 2019] ˆ
[Thu Mar  7 15:08:07 2019] 
[Thu Mar  7 15:08:07 2019] 37  10  0  43053  
[Thu Mar  7 15:08:07 2019] ˆ
