=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.02.27 14:02:26 =~=~=~=~=~=~=~=~=~=~=~=

RFM69 radio init OK!
one circle time, sleep_time, awake time, set_sleepTime, set_buffer, set_sendtoWait, set_send, set_randomTime_in_sendtoWait, set_waitAvailableTimeout, waitAvailableTimeout_within_numTimes
154.00, 144, 10.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 381
25.00, 15, 10.00, 0.00, 0.00, 11.00, 4.00, 0.00, 7.00, 382
28.00, 18, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 474
40.00, 30, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 494
22.00, 13, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 389
49.00, 38, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 514
30.00, 21, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 402
37.00, 29, 8.00, 0.00, 0.00, 8.00, 2.00, 2.00, 4.00, 270
54.00, 41, 13.00, 2.00, 0.00, 11.00, 2.00, 0.00, 9.00, 448
59.00, 51, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 305
27.00, 12, 15.00, 2.00, 0.00, 12.00, 2.00, 0.00, 10.00, 626
35.00, 23, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 549
25.00, 13, 12.00, 0.00, 0.00, 13.00, 4.00, 0.00, 9.00, 540
18.00, 9, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 382
25.00, 13, 12.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 399
80.00, 69, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 490
100.00, 87, 13.00, 0.00, 0.00, 14.00, 4.00, 0.00, 10.00, 674
213.00, 205, 8.00, 0.00, 0.00, 8.00, 2.00, 2.00, 4.00, 261
8.00, 0, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 288
70.00, 62, 8.00, 2.00, 0.00, 7.00, 2.00, 2.00, 3.00, 120
35.00, 26, 9.00, 0.00, 0.00, 9.00, 2.00, 0.00, 7.00, 344
59.00, 48, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 385
78.00, 66, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 8.00, 560
141.00, 130, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 522
34.00, 22, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 621
10.00, 2, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 288
14.00, 0, 14.00, 2.00, 0.00, 12.00, 2.00, 0.00, 10.00, 608
60.00, 49, 11.00, 0.00, 0.00, 11.00, 3.00, 0.00, 8.00, 453
80.00, 69, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 489
33.00, 22, 11.00, 0.00, 0.00, 11.00, 2.00, 0.00, 9.00, 483
24.00, 13, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 540
67.00, 56, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 541
127.00, 115, 12.00, 0.00, 0.00, 12.00, 2.00, 2.00, 8.00, 572
23.00, 13, 10.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 376
